date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:25	38033/38033	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.d89345026f85e107.js?v=172189566983030530901741914688	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.d89345026f85e1072a1f.js	(from https://www.jbhifi.com.au/)
12:11:26	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:25%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.8f628ca378730930.js?v=33530878958352492641741914730	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.8f628ca378730930b528.js	(from https://www.jbhifi.com.au/)
12:11:26	23031/23031	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.8f628ca378730930.js?v=33530878958352492641741914730	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.8f628ca378730930b528.js	(from https://www.jbhifi.com.au/)
12:11:26	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:26%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.de3c5c9848173de7.js?v=89890847779854720871741914951	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.de3c5c9848173de75de9.js	(from https://www.jbhifi.com.au/)
12:11:26	247000/247000	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:17%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.de3c5c9848173de7.js?v=89890847779854720871741914951	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.de3c5c9848173de75de9.js	(from https://www.jbhifi.com.au/)
12:11:28	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:26%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.718d8a6487135951.js?v=50296637581937114901741914739	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.718d8a6487135951c4f8.js	(from https://www.jbhifi.com.au/)
12:11:29	17107/17107	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.718d8a6487135951.js?v=50296637581937114901741914739	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.718d8a6487135951c4f8.js	(from https://www.jbhifi.com.au/)
12:11:29	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:29%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.cef14ef545304f68.js?v=30158978405394258301741915013	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.cef14ef545304f687145.js	(from https://www.jbhifi.com.au/)
12:11:29	53553/53553	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.cef14ef545304f68.js?v=30158978405394258301741915013	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.cef14ef545304f687145.js	(from https://www.jbhifi.com.au/)
12:11:30	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:29%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.b45ba83cf67dc167.js?v=8939775604271824091741914974	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.b45ba83cf67dc1677ecf.js	(from https://www.jbhifi.com.au/)
